"operator","technology","download","speed_kbps","signal_strength","lsa"
"AIRTEL","4G","upload","1895","na","Haryana"
"AIRTEL","4G","download","30502","-96","Haryana"
"AIRTEL","4G","download","13408","na","Karnataka"
"AIRTEL","4G","upload","17648","-100","Tamil Nadu"
"JIO","4G","download","41920","-69","Haryana"
"AIRTEL","4G","upload","30493","-99","Haryana"
"JIO","4G","upload","19020","-76","Haryana"
"AIRTEL","4G","download","20909","-96","Haryana"
"JIO","4G","upload","675","-97","UP East"
"JIO","4G","download","24470","-92","Haryana"
"JIO","4G","upload","1648","-94","Haryana"
"JIO","4G","upload","372","-98","Haryana"
"AIRTEL","4G","download","30331","-96","Haryana"
"JIO","4G","download","4681","-104","Haryana"
"JIO","4G","download","2725","-101","Haryana"
"JIO","4G","download","6458","na","Haryana"
"JIO","4G","upload","2991","-86","Haryana"
"AIRTEL","4G","upload","850","na","Orissa"
"Vi India","4G","upload","9958","-106","UP West"
"JIO","4G","upload","1678","-86","Haryana"
"JIO","4G","upload","25365","-83","Assam"
"AIRTEL","4G","download","47594","-104","Haryana"
"JIO","4G","upload","5389","-90","Bihar"
"JIO","4G","upload","8834","-90","Bihar"
"AIRTEL","4G","upload","20437","-76","Maharashtra"
"JIO","4G","upload","378","-91","Haryana"
"JIO","4G","upload","12590","-90","Andhra Pradesh"
"AIRTEL","4G","download","12994","-99","Haryana"
"AIRTEL","4G","download","9357","-97","Haryana"
"JIO","4G","download","4379","-95","Andhra Pradesh"
"JIO","4G","download","31185","-85","Haryana"
"AIRTEL","4G","upload","853","-107","Haryana"
"JIO","4G","download","12795","-89","Haryana"
"JIO","4G","download","89477","-90","Rajasthan"
"Vi India","4G","upload","17904","-92","Gujarat"
"JIO","4G","download","68928","-90","Rajasthan"
"JIO","4G","download","18434","-73","Haryana"
"Vi India","4G","upload","1660","-110","Kolkata"
"JIO","4G","upload","8452","-82","Rajasthan"
"Vi India","4G","download","3911","-107","Kerala"
"AIRTEL","4G","download","11640","-85","Haryana"
"AIRTEL","4G","download","3272","-89","Rajasthan"
"CELLONE","3G","download","4703","na","Kerala"
"JIO","4G","upload","456","na","Madhya Pradesh"
"JIO","4G","download","22559","-80","Chennai"
"JIO","4G","download","63502","-90","Rajasthan"
"AIRTEL","4G","upload","8743","-89","Rajasthan"
"AIRTEL","4G","download","24195","-107","Haryana"
"JIO","4G","upload","3059","-90","Bihar"
"AIRTEL","4G","download","25283","-91","Himachal Pradesh"
"JIO","4G","download","63162","-90","Rajasthan"
"JIO","4G","upload","7933","-90","Gujarat"
"AIRTEL","4G","upload","1308","-98","Haryana"
"AIRTEL","4G","download","13739","na","Karnataka"
"JIO","4G","download","31012","-103","Kerala"
"JIO","4G","upload","9837","-90","Rajasthan"
"JIO","4G","upload","9799","-90","Rajasthan"
"JIO","4G","upload","1375","-90","Delhi"
"JIO","4G","download","47649","-90","Gujarat"
"JIO","4G","download","12337","-87","Haryana"
"JIO","4G","download","64873","-90","Bihar"
"AIRTEL","4G","upload","1764","-101","Rajasthan"
"JIO","4G","download","23619","-77","Haryana"
"AIRTEL","4G","download","15957","-98","Haryana"
"Vi India","4G","upload","790","-90","Tamil Nadu"
"JIO","4G","download","13103","-101","Mumbai"
"JIO","4G","download","58135","-90","Karnataka"
"JIO","4G","download","72303","-90","Rajasthan"
"JIO","4G","upload","3129","-90","Karnataka"
"JIO","4G","download","33691","-90","Karnataka"
"JIO","4G","upload","50","-85","Haryana"
"AIRTEL","4G","download","26792","-84","Haryana"
"JIO","4G","download","82979","-90","Gujarat"
"JIO","4G","upload","232","na","UP East"
"Vi India","4G","download","15509","-86","Maharashtra"
"JIO","4G","upload","9429","-90","Gujarat"
"AIRTEL","4G","upload","2976","-74","Haryana"
"AIRTEL","4G","download","10520","-104","Haryana"
"JIO","4G","download","6504","-109","Madhya Pradesh"
"JIO","4G","upload","9893","-90","Rajasthan"
"JIO","4G","upload","6556","-89","Bihar"
"JIO","4G","download","3105","na","Kolkata"
"JIO","4G","download","690","na","Maharashtra"
"AIRTEL","4G","download","19974","-105","Maharashtra"
"JIO","4G","download","8936","-107","Kerala"
"AIRTEL","4G","upload","4709","-91","Orissa"
"JIO","4G","download","84522","-90","Rajasthan"
"JIO","4G","download","67237","-90","Rajasthan"
"JIO","4G","upload","7646","-90","Rajasthan"
"JIO","4G","download","73775","-90","Tamil Nadu"
"AIRTEL","4G","download","628","-102","Haryana"
"JIO","4G","download","78903","-90","Tamil Nadu"
"JIO","4G","download","77885","-90","Tamil Nadu"
"AIRTEL","4G","upload","2763","-97","Haryana"
"JIO","4G","upload","4695","-90","Bihar"
"JIO","4G","download","82524","-90","Tamil Nadu"
"AIRTEL","4G","upload","16850","-81","Haryana"
"JIO","4G","download","61905","-90","Gujarat"
"AIRTEL","4G","upload","1265","-111","Haryana"
"AIRTEL","4G","upload","383","-111","Haryana"
"JIO","4G","upload","9288","-90","Tamil Nadu"
"AIRTEL","4G","upload","6301","-106","Haryana"
"CELLONE","3G","download","1010","-83","UP East"
"JIO","4G","upload","9731","-90","Rajasthan"
"JIO","4G","download","846","-105","Haryana"
"AIRTEL","4G","download","6439","-109","Punjab"
"JIO","4G","upload","551","-99","Haryana"
"AIRTEL","4G","download","24207","-94","Haryana"
"JIO","4G","upload","9015","-90","Tamil Nadu"
"Vi India","4G","upload","233","-108","Gujarat"
"JIO","4G","upload","137","na","Orissa"
"AIRTEL","4G","download","1466","-88","Haryana"
"JIO","4G","download","4975","-58","Rajasthan"
"JIO","4G","upload","101","-100","Haryana"
"AIRTEL","4G","upload","7900","-83","Haryana"
"JIO","4G","download","803","-108","Gujarat"
"AIRTEL","4G","upload","550","-99","Haryana"
"AIRTEL","4G","download","4879","-97","Madhya Pradesh"
"AIRTEL","4G","download","49357","-85","Bihar"
"AIRTEL","4G","upload","2161","-87","Haryana"
"AIRTEL","4G","upload","2202","-94","Haryana"
"JIO","4G","download","12141","-103","Haryana"
"AIRTEL","4G","upload","23067","-82","Haryana"
"JIO","4G","upload","18746","na","Tamil Nadu"
"AIRTEL","4G","download","6098","-80","Orissa"
"JIO","4G","download","816","-99","Haryana"
"CELLONE","4G","upload","137","-112","Assam"
"AIRTEL","4G","upload","2461","-100","Haryana"
"AIRTEL","4G","upload","6321","-77","Maharashtra"
"JIO","4G","upload","1005","-97","Haryana"
"JIO","4G","download","7773","-98","Chennai"
"AIRTEL","4G","download","6937","-98","Haryana"
"AIRTEL","4G","upload","2076","-104","Kerala"
"AIRTEL","4G","download","13010","-111","Kerala"
"JIO","4G","download","17820","-83","Haryana"
"JIO","4G","download","9521","-95","Haryana"
"JIO","4G","upload","21844","-100","Gujarat"
"AIRTEL","4G","download","10962","-102","Haryana"
"AIRTEL","4G","download","12375","-84","Haryana"
"AIRTEL","4G","download","12111","-101","Kerala"
"AIRTEL","4G","upload","942","-101","Haryana"
"AIRTEL","4G","download","50143","-87","Haryana"
"AIRTEL","4G","download","28878","-92","Haryana"
"AIRTEL","4G","upload","4077","-102","Haryana"
"AIRTEL","4G","download","8975","-103","Maharashtra"
"AIRTEL","4G","download","14521","-111","Haryana"
"AIRTEL","4G","download","14135","-111","Haryana"
"JIO","4G","download","14040","-102","Punjab"
"JIO","4G","download","1124","-88","Delhi"
"AIRTEL","4G","download","260","-103","Haryana"
"JIO","4G","upload","934","-95","Haryana"
"JIO","4G","download","17077","-85","Haryana"
"JIO","4G","upload","97","-109","Haryana"
"JIO","4G","download","3328","-93","Kolkata"
"AIRTEL","4G","upload","665","-95","Haryana"
"JIO","4G","download","2491","-106","Kerala"
"AIRTEL","4G","download","6344","-106","West Bengal"
"AIRTEL","4G","upload","1487","-94","Haryana"
"AIRTEL","4G","upload","1109","-81","Haryana"
"AIRTEL","4G","download","11654","-105","Haryana"
"AIRTEL","4G","upload","1282","-86","Haryana"
"AIRTEL","4G","download","27978","-92","Kolkata"
"JIO","4G","upload","253","-93","Haryana"
"JIO","4G","download","2183","-105","Haryana"
"AIRTEL","4G","download","44765","-83","Haryana"
"JIO","4G","upload","200","na","Haryana"
"Vi India","4G","download","9648","-76","Gujarat"
"JIO","4G","upload","70","na","Haryana"
"JIO","4G","upload","4395","-99","Haryana"
"JIO","4G","download","21163","-109","Haryana"
"JIO","4G","download","45533","-84","Maharashtra"
"AIRTEL","4G","upload","142","-108","Haryana"
"JIO","4G","upload","4955","-105","Haryana"
"AIRTEL","4G","download","34698","-80","Haryana"
"AIRTEL","4G","upload","1280","-86","Haryana"
"JIO","4G","download","26663","-109","Haryana"
"JIO","4G","upload","120","na","Kolkata"
"JIO","4G","upload","804","-109","Haryana"
"Vi India","4G","upload","4379","-101","Kolkata"
"JIO","4G","download","79565","-79","UP East"
"JIO","4G","upload","28541","-77","Haryana"
"JIO","4G","download","42193","-88","Haryana"
"JIO","4G","upload","2837","-85","Haryana"
"AIRTEL","4G","upload","8473","-101","Haryana"
"JIO","4G","download","5151","na","Tamil Nadu"
"AIRTEL","4G","download","27532","-84","Haryana"
"JIO","4G","upload","141","-106","Haryana"
"JIO","4G","upload","566","-102","Haryana"
"JIO","4G","download","19996","-106","Maharashtra"
"Vi India","4G","download","25863","-74","UP West"
"AIRTEL","4G","download","18396","-111","Haryana"
"AIRTEL","4G","download","33220","-97","Haryana"
"JIO","4G","download","29045","-97","Haryana"
"AIRTEL","4G","download","20579","-94","Haryana"
"JIO","4G","upload","16995","-73","Haryana"
"AIRTEL","4G","download","11704","na","Haryana"
"AIRTEL","4G","upload","19584","-96","Bihar"
"AIRTEL","4G","download","26337","-84","Haryana"
"JIO","4G","download","22750","-100","Haryana"
"AIRTEL","4G","download","26606","-95","Kerala"
"AIRTEL","4G","download","35433","-105","Rajasthan"
"JIO","4G","upload","2432","-98","Haryana"
"JIO","4G","download","12397","-107","Haryana"
"JIO","4G","download","17711","-108","Haryana"
"AIRTEL","4G","upload","25588","-92","Haryana"
"AIRTEL","4G","upload","22723","-103","Orissa"
"JIO","4G","upload","21697","-86","Haryana"
"JIO","4G","download","25595","-103","Haryana"
"AIRTEL","4G","upload","23472","-99","Haryana"
"JIO","4G","upload","7819","-96","Kerala"
"AIRTEL","4G","download","9933","-99","Haryana"
"JIO","4G","download","14366","-108","Gujarat"
"AIRTEL","4G","download","15853","-106","Haryana"
"AIRTEL","4G","upload","5714","-103","Haryana"
"AIRTEL","4G","download","41766","-79","Haryana"
"JIO","4G","download","31604","-96","Gujarat"
"JIO","4G","download","28793","-55","Haryana"
"AIRTEL","4G","download","22996","-102","Haryana"
"AIRTEL","4G","upload","7214","-97","Haryana"
"AIRTEL","4G","download","31735","-94","Haryana"
"AIRTEL","4G","download","33664","-88","Haryana"
"JIO","4G","upload","4536","-90","Delhi"
"JIO","4G","download","159","-90","UP East"
"JIO","4G","download","77473","-90","Rajasthan"
"JIO","4G","upload","2525","-90","Karnataka"
"AIRTEL","4G","upload","291","-107","Haryana"
"JIO","4G","upload","1345","-95","Haryana"
"JIO","4G","download","805","na","Haryana"
"JIO","4G","download","15395","-93","Delhi"
"JIO","4G","upload","2651","-90","Kolkata"
"CELLONE","3G","download","3617","-68","Rajasthan"
"JIO","4G","download","962","-105","Haryana"
"JIO","4G","download","64916","-90","Rajasthan"
"CELLONE","3G","download","1149","na","Punjab"
"JIO","4G","upload","352","-110","Gujarat"
"Vi India","4G","download","7327","-111","Mumbai"
"JIO","4G","upload","1144","-89","Haryana"
"JIO","4G","upload","6509","-93","Maharashtra"
"AIRTEL","4G","download","1118","-110","Haryana"
"JIO","4G","upload","10089","-90","Rajasthan"
"JIO","4G","download","14459","-109","Maharashtra"
"Vi India","4G","upload","12898","-97","Madhya Pradesh"
"JIO","4G","upload","8911","-90","Kolkata"
"AIRTEL","4G","upload","30476","-80","Haryana"
"JIO","4G","upload","9491","-90","Rajasthan"
"JIO","4G","upload","9844","-91","Gujarat"
"JIO","4G","upload","892","-98","Haryana"
"JIO","4G","upload","9651","-90","Rajasthan"
"JIO","4G","download","10851","-91","Haryana"
"JIO","4G","upload","3378","-87","Haryana"
"JIO","4G","upload","5719","-90","Kolkata"
"JIO","4G","download","58408","-90","Rajasthan"
"JIO","4G","download","58868","-90","Delhi"
"JIO","4G","upload","4633","-91","Bihar"
"AIRTEL","4G","upload","11031","-96","Haryana"
"JIO","4G","upload","2707","-104","Haryana"
"JIO","4G","upload","5496","-89","Karnataka"
"JIO","4G","upload","8399","-90","Kolkata"
"JIO","4G","upload","25627","-79","Haryana"
"AIRTEL","4G","download","8824","-89","Haryana"
"AIRTEL","4G","upload","330","-103","Haryana"
"JIO","4G","upload","9726","-90","Rajasthan"
"JIO","4G","download","10213","-84","Himachal Pradesh"
"JIO","4G","upload","9428","-90","Tamil Nadu"
"JIO","4G","download","81018","-90","Tamil Nadu"
"JIO","4G","download","6776","-84","Kerala"
"Vi India","4G","upload","8536","-86","Delhi"
"JIO","4G","upload","798","-110","Assam"
"AIRTEL","4G","download","7837","-110","Haryana"
"Vi India","4G","upload","1197","-100","Madhya Pradesh"
"JIO","4G","upload","9835","-90","Rajasthan"
"JIO","4G","download","9568","-94","Maharashtra"
"JIO","4G","download","76455","-90","Kolkata"
"AIRTEL","4G","upload","25750","-84","Haryana"
"AIRTEL","4G","download","16387","-89","Haryana"
"JIO","4G","upload","9595","-90","Tamil Nadu"
"AIRTEL","4G","download","4065","-88","Haryana"
"JIO","4G","download","165","-90","UP East"
"JIO","4G","download","73930","-90","Rajasthan"
"JIO","4G","download","76044","-90","Rajasthan"
"AIRTEL","4G","upload","1180","-73","Gujarat"
"Vi India","4G","upload","1622","-103","Gujarat"
"JIO","4G","upload","7545","-90","Rajasthan"
"AIRTEL","4G","download","4906","-94","Haryana"
"JIO","4G","download","12604","-76","Bihar"
"Vi India","4G","download","3481","-105","Maharashtra"
"AIRTEL","4G","download","15870","-88","Haryana"
"JIO","4G","upload","285","na","Gujarat"
"JIO","4G","download","19185","-95","Kolkata"
"JIO","4G","upload","5145","-89","Tamil Nadu"
"JIO","4G","download","55879","-90","Bihar"
"AIRTEL","4G","upload","5131","-83","Mumbai"
"JIO","4G","upload","1880","-109","Karnataka"
"AIRTEL","4G","upload","115","-86","Haryana"
"AIRTEL","4G","upload","113","-91","Haryana"
"JIO","4G","download","43127","-90","Kolkata"
"AIRTEL","4G","download","15540","-80","UP East"
"AIRTEL","4G","upload","1034","-111","Tamil Nadu"
"AIRTEL","4G","download","1735","-112","UP East"
"JIO","4G","upload","10882","-96","Madhya Pradesh"
"JIO","4G","upload","2659","-90","Kolkata"
"AIRTEL","4G","upload","16116","-87","Haryana"
"JIO","4G","download","54970","-90","Kolkata"
"JIO","4G","download","74311","-90","Bihar"
"JIO","4G","download","1789","-99","Haryana"
"JIO","4G","download","7968","-91","Haryana"
"JIO","4G","upload","2569","na","Haryana"
"JIO","4G","upload","5485","-77","Haryana"
"AIRTEL","4G","download","1021","-99","Delhi"
"JIO","4G","download","70448","-90","Bihar"
"AIRTEL","4G","upload","224","-99","Haryana"
"AIRTEL","4G","upload","2386","-105","Haryana"
"JIO","4G","download","4833","na","Haryana"
"JIO","4G","download","8074","-103","Gujarat"
"JIO","4G","download","6053","-103","Haryana"
"JIO","4G","upload","168","-101","Haryana"
"JIO","4G","download","10665","-91","Kerala"
"AIRTEL","4G","download","13290","-82","Kolkata"
"AIRTEL","4G","upload","42","na","Maharashtra"
"Vi India","4G","upload","823","-110","Gujarat"
"JIO","4G","upload","2345","-97","UP East"
"AIRTEL","4G","upload","17792","-95","Haryana"
"JIO","4G","upload","435","-97","Haryana"
"AIRTEL","4G","upload","3337","-106","Kolkata"
"AIRTEL","4G","download","14718","-90","Haryana"
"AIRTEL","4G","download","2289","na","Kerala"
"JIO","4G","download","7470","-68","Gujarat"
"JIO","4G","download","14271","-76","Karnataka"
"AIRTEL","4G","download","14946","-99","Haryana"
"AIRTEL","4G","download","1470","-105","Haryana"
"AIRTEL","4G","upload","318","-112","Haryana"
"JIO","4G","download","10083","-90","Haryana"
"AIRTEL","4G","download","43068","-106","Orissa"
"JIO","4G","upload","142","-103","Haryana"
"AIRTEL","4G","download","17881","-94","Haryana"
"JIO","4G","upload","247","-96","Maharashtra"
"AIRTEL","4G","upload","306","-96","Haryana"
"JIO","4G","upload","30380","-96","UP East"
"JIO","4G","download","5804","-111","West Bengal"
"AIRTEL","4G","upload","585","-90","Haryana"
"AIRTEL","4G","upload","525","-110","Haryana"
"AIRTEL","4G","download","2741","-105","Haryana"
"AIRTEL","4G","upload","18594","-97","Haryana"
"JIO","4G","download","8780","-105","Kerala"
"JIO","4G","upload","102","-105","Haryana"
"AIRTEL","4G","download","31709","-87","Haryana"
"AIRTEL","4G","upload","3533","-102","Karnataka"
"AIRTEL","4G","upload","25050","-92","Haryana"
"JIO","4G","download","265","-110","Haryana"
"JIO","4G","download","1829","-101","Haryana"
"JIO","4G","download","2603","-88","Mumbai"
"CELLONE","4G","download","5290","-109","Punjab"
"AIRTEL","4G","upload","123","na","Haryana"
