"operator","technology","download","speed_kbps","signal_strength","lsa"
"Vi India","4G","download","6565","na","Gujarat"
"JIO","4G","upload","4747","-91","Haryana"
"AIRTEL","4G","download","3475","-98","Orissa"
"AIRTEL","4G","upload","3677","-73","Haryana"
"JIO","4G","upload","374","-96","Haryana"
"AIRTEL","4G","download","5800","-109","Kerala"
"AIRTEL","4G","download","15750","-98","Haryana"
"JIO","4G","upload","3671","-99","Himachal Pradesh"
"JIO","4G","upload","5618","-90","Bihar"
"Vi India","4G","upload","3199","na","Gujarat"
"JIO","4G","upload","3450","-84","Haryana"
"JIO","4G","download","51246","-90","Bihar"
"JIO","4G","upload","11086","-90","Orissa"
